1988;;1991;;1994;;1998;;2002;;2006;;2010;;2014;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
C;;C;;C;;C;;C;;C;;C;;C;;;;
välfärd;11;användas;;utveckling;12;ledarskap;0;lika;0;vision;0;företag;6;växa;0;;;
centern;14;ekonomisk;13;verksamhet;;samhället;;självbestämmande;;välfärd;11;miljö;9;jobbskaparna;5;;;
skatt;10;öppna;0;grundläggande;0;förstärkas;0;samhället;;själv;;jobb;5;landsbygden;20;;;
utbildning;2;miljö;9;energi;9;grunden;;villkor;5;ideella;0;arbetsgivare;5;förnybara;9;;;
förbättras;0;sänkas;;underskotten;13;förbättras;0;hälsa;1;miljö;9;klimat;9;jobb;5;;;
;;villkor;5;centern;14;tryggare;0;utgå;0;omställning;0;krävs;;fortsätta;0;;;
;;centern;14;grundtrygghet;11;enklare;0;försöka;;landsbygden;20;ambitiösa;0;behöver;;;;
;;bränslen;9;besparingar;13;landet;;utvecklingen;12;jobb;5;tillväxt;13;strid;0;;;
;;valperioden;;;;behöver;;möjligheter;0;bestämma;;klimatmålen;9;centerpartiet;14;;;
;;regering;14;;;centerpartiet;14;förändra;0;hälsa;1;eu;7;vänsterpolitiken;21;;;
;;;;;;regler;;livskvalitet;11;flexibilitet;0;centerpartiet;14;prioriterar;0;;;
;;;;;;utvecklas;12;grunden;;liv;0;kemikalier;9;arbetsmarknaden;5;;;
;;;;;;;;människor;;livet;0;regioner;20;kemikalier;9;;;
;;;;;;;;livskraft;5;lösa;0;rut;;städer;20;;;
;;;;;;;;förutsättningar;3;lever;;grön;9;närodlad;;;;
;;;;;;;;landet;;framtiden;12;energi;9;farliga;0;;;
;;;;;;;;åren;;behöver;;öka;;energin;9;;;
;;;;;;;;åstadkomma;0;centerpartiet;14;strategi;0;gröna;9;;;
;;;;;;;;förutsätter;;s;;landet;;landet;20;;;
;;;;;;;;människors;;dig;;förnybar;9;förnybar;9;;;
;;;;;;;;;;;;;;;;;;
FP;;FP;;FP;;FP;;FP;;FP;;FP;;FP;;;;
folkpartiet;14;frihet;26;folkpartiet;14;sätter;;euron;7;utsatta;11;lågkonjunkturen;13;utsatta;11;;;
folkpartiets;14;eg;;jobb;5;svenskar;;situationen;;sﬁ;16;»»;;europa;7;;;
bestämma;;jämställdhet;3;privata;;världens;;folkpartiet;14;Är;;socialt;;folkpartiet;14;;;
höjs;;samarbetet;;angeläget;;bäst;0;usa;;socialliberal;0;europa;7;stärk;0;;;
människor;;politiken;;partier;;människor;;klarspråk;;igen;;status;4;socialtjänsten;11;;;
uppmuntras;;människor;;nödvändigt;0;kunskaper;2;s;;fÖr;;folkpartiet;14;förbättras;0;;;
läkare;1;liberaler;14;värderingar;0;ofta;;liberala;14;folkpartiets;14;äldreboende;19;bygg;;;;
möjligt;0;liberalare;0;åren;;extra;;socialdemokraterna;21;folkpartiet;14;liberala;14;liberalerna;14;;;
;;själva;;eu;7;;;jämförbara;;ﬁnns;;boende;17;liberal;0;;;
;;värderingar;0;män;;;;talat;;problem;0;rädda;0;värnas;0;;;
;;män;;politiska;;;;eu;7;trygghetssatsningen;8;vårdgaranti;1;ja;;;;
;;möjligheter;0;kvinnor;;;;högskolan;2;valmanifest;;eu;7;brottslighet;8;;;
;;röst;;;;;;utgångsläget;;gamla;;gått;;ryssland;;;;
;;politik;;;;;;naturligtvis;;integrationssatsningen;16;rättigheter;0;ålder;;;;
;;kvinnor;;;;;;;;tillräckligt;;s;;sjuksköterskor;1;;;
;;;;;;;;;;•;;kulturen;22;klassrummet;2;;;
;;;;;;;;;;områden;;äldre;19;skydd;0;;;
;;;;;;;;;;mÅste;;integration;16;samordning;0;;;
;;;;;;;;;;ﬂer;;bör;;välfärden;11;;;
;;;;;;;;;;syfte;;hjälp;0;straffas;0;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
KD;;KD;;KD;;KD;;KD;;KD;;KD;;KD;;;;
